Author,Title,Publisher,Grade,JacketCondition,Binding,BookType,ISBN ,PublishYear,Edition,Pages,Notes
"Nierenberg, Gerard L.",How to Read a Person Like a Book,Pocket Books,Fair,No Jacket,Soft Cover,Education,671-78593-1,1971,,189,
"Stone, Jon",The Monster at the End of This Book,Golden Books,Good,No Jacket,Hard Cover,Child's Book,307010856,1971,,,
"Tryon, Thomas",The Other,Alfred A. Knoff,Fair,Good,Hard Cover,Mystery,394467442,1971,,280,
Artcraft,Birthday Children,William Collins Sons & Co.,Poor,No Jacket,Soft Cover,Child's Book,,1972,,,
"Blume, Judy",Tales of a Fourth Grade Nothing,A Yearling Book,Good,No Jacket,Soft Cover,Child's Book,044048474X,1972,,120,
"Bowen, Ezra",The High Sierra,Time-Life Books,Very Good,No Jacket,Hard Cover,Historical,No ISBN,1972,,184,
"Christie, Agatha",Elephants Can Remember,Dodd Mead & Co.,Very Good,Fair,Hard Cover,Mystery,,1972,,243,
"Crockett, James Underwood",Flowering House Plants,Time Life Books,Very Good,No Jacket,Hard Cover,Education,No ISBN,1972,,160,
"Crockett, James Underwood",Foliage House Plants,Time Life Books,Very Good,No Jacket,Hard Cover,Education,No ISBN,1972,,160,
"Crockett, James Underwood",Perennials,Time Life Books,Very Good,No Jacket,Hard Cover,Education,No ISBN,1972,,160,
"Davies, Robertson",The Manticore,Macmillan of Canada,Fair,No Jacket,Hard Cover,Novel,0-7705-0891-X,1972,,280,
"Friend, Natasha",Lush,Scholastic,Very Good,Very Good,Hard Cover,Young Adult,043985343X,1972,1st Edition,178,
"Friend, Natasha",Perfect,Milkweed Editions,Good,No Jacket,Soft Cover,Novel,1571316515,1972,,172,
"Garrison, Ray H.",Managerial Accounting,"Business Publications, Inc.",Very Good,No Jacket,Hard Cover,Education,256032610,1972,,614,
"Higgins, Jack","Savage Day, The",A Signet Book,Good,No Jacket,Soft Cover,Mystery,451142543,1972,,255,
"Holt, Victoria",On the Night of the Seventh Moon,Fawcett Crest,Good,No Jacket,Soft Cover,Romance,449212289,1972,,383,
"Hurwood, Bernhardt J.",Haunted House,Scholastic,Poor,No Jacket,Soft Cover,Fantasy,590450190,1972,,,
"Hurwood, Bernhardt J.","Vampiers, Werewolves & Other Demons",Scholastic,Good,No Jacket,Soft Cover,Fantasy,590412140,1972,,112,
"Jablonski, Edward",Wings of Fire,Doubledaiy & Co.,Good,No Jacket,Hard Cover,Historical,385042779,1972,,243,
"Levin,",The Stepford Wives,Reader's Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),None,1972,,,
"Montgomery, Ruth",A World Beyond,Fawcett Crest,Good,No Jacket,Soft Cover,Psychic,044920832X,1972,,176,
"Paher, Stanley W.",Ponderosa Country,Nevada Publications,Fine,Very Good,Hard Cover,Historical,No ISBN===,1972,,48,
"Prather, Hugh","I Touch the Earth, the Earth Touches Me",Doubledaiy & Co.,Good,No Jacket,Soft Cover,Education,385050631,1972,,,
"Rackham, Arthur",Once Upon a Time,Viking,Good,No Jacket,Hard Cover,Child's Book,No ISBN,1972,,296,
"Reader John, & Croze, Harvey",Pyramids of Life,J. B. Lippincott Company,Poor,No Jacket,Hard Cover,Education,0-397-01151-2,1972,,222,
"Rice, Helen Steiner",Someone Cares,Fleming H. Revell Company,As New,Very Good,Hard Cover,Poetry,None,1972,,128,
"Salten, Felix",The Beloved Classic Bambi,Grosset & Dunlap,Fair,No Jacket,Soft Cover,Paperback,448053500,1972,,159,
"Smith, Robert Kimmel",Sadie Shapiro's Knittting Book,Reader's Digest,As New,Good,Hard Cover,Advanced Reading Copy (ARC),None,1972,,,
"Stearn, Jess",Search for a Soul,Fawcett Crest,As New,No Jacket,Soft Cover,Novel,,1972,,287,
"Stein, Philip L. & Rowe, Bruce M.","Write Better, Speak Better","Reader's Digest's Association, Inc.",,,Hard Cover,Education,No ISBN,1972,,730,
"Tanur, Judith M.","Statistics, A Guide to the Unknown","Holden-Day, Inc.",Poor,No Jacket,Soft Cover,Reference,0-8162-8604-3,1972,,430,
"Tanur, Judith M.",Statistics: A Guide to the Unknown,"Holden-Day, Inc.",Poor,No Jacket,Soft Cover,Historical,816286042,1972,,430,
"Bellairs, John",The House with a Clock in Its Walls,Dell Publishing,Fair,No Jacket,Soft Cover,Mystery,440437423,1973,,179,
"Christie, Agatha",Postern of Fate,Bantam Books,Good,No Jacket,Soft Cover,Mystery,No ISBN,1973,,276,
"Compton, Joan",Knowledge Through Color House Plants,Bantam Books,Fair,No Jacket,Soft Cover,Paperback,,1973,,159,
"Cushner, Zelder","Doll News, February 1973","United Federation of Doll Clubs, Inc.",Fair,No Jacket,Soft Cover,Magazine,,1973,,36,
"Cussler, Clive",The Mediterranean Caper,Pocket Books,Very Good,No Jacket,Soft Cover,Novel,671737783,1973,,248,
"Cussler, Clive",The Mediterranean Caperr,Berkely Books,Good,No Jacket,Soft Cover,Novel,9.78E+12,1973,,324,
"Disney, Walt",Snow White and the seven Dwarfs,Random House,Poor,No Jacket,Hard Cover,Child's Book,,1973,,,The pages in this book are not numbered.
"Disney, Walt",The Art of Walt Disney from Mickey Mouse to the Magic Kingdom,Harry N. Abrams,As New,As New,Hard Cover,Child's Book -Collector's Book,810901226,1973,,458,
"Drury, Allen","Come Ninevah, Come Dtyre",Avon,As New,No Jacket,Soft Cover,Novel,380001268,1973,,544,
"Everton, George B., Sr.",The How Book for Geneologists,"The Everton Publishers, Inc.",Fair,No,Half-Leather,Education,No ISBN,1973,7th Edition,237,
"Finch, Christopher",The Art of Walt Disney,Harry N. Abrams,Very Good,Very Good,Hard Cover,Collector,0-8109-0122-6,1973,,458,
"Gruening, Ernest",Many Battles,Liveright,Very Good,No Jacket,Hard Cover,Autobiography,871405652,1973,,563,
"Hersey, John",Hiroshima,"Scholastic, Inc.",Very Good,No Jacket,Soft Cover,Historical,590257625,1973,,152,
"Jeffrey, Adi-Kent Thomas",The Bermuda Triangle,Warner Paperback Library,Poor,No Jacket,Soft Cover,Ficton,,1973,,189,
"Kraus, Barbars",Calories and Carbohydrates,Signet,Fair,No Jacket,Soft Cover,Health,,1973,,384,
"Leader, Mary","Triad, A Novel of the Supernatural","Coward-McCann, Inc.",Fair,Poor,Hard Cover,Science Fiction,,1973,,185,
"L'Engle, Madeleine",A Wrinkle in Tiem,Dell Publishing Co.,,No Jacket,Soft Cover,Novel,0-440-49805-8,1973,,211,
"L'Engle, Madeleine",A Wrinkle in Time,A Yearling Book,As New,No Jacket,Soft Cover,Novel,440498058,1973,,211,
"Lenz, Lee W.",Native Plants for Calif. Gardens,Day Printing Corp.,Good,No Jacket,Soft Cover,Education,,1973,,166,
Life Magazine,The Best of Life,Time Life Books,Very Good,No Jacket,Hard Cover,Collector,,1973,,,
"Ludlum, Robert",The Matlock Paper,A Dell Book,Fair,No Jacket,Soft Cover,Novel,044015538X,1973,,384,
"Maas, Perter",Serpico,"Peter Maas and Tsampa Company, Inc.",Fair,No Jacket,Soft Cover,Novel,No ISBN,1973,,311,
"Maltz, Maxwell,",The Magic Power of Self-Image Psychology,Pocket Books,Fair,No Jacket,Soft Cover,Education,None,1973,,211,
"Mann, May",Jayne Mansfield,Pocket Books,Poor,No Jacket,Soft Cover,Biography,No ISBN,1973,,288,
"Masterson, Whit",The Undertaker Wind,Detective Book Club,Fair,No Jacket,Hard Cover,Mystery,None,1973,,,
"Metz, Rudolph",Gems and Minerals in Color,"Hippocrene Books, Inc.",Very Good,Very Good,Hard Cover,Education,0-88524-281-8,1973,,255,
"Morehouse, Thomas A. & Harrison, Gordon S.",An Electoral Profile of Alaska,"Institute of Social, Economic and Government Research of Alaska",Very Good,No Jacket,Soft Cover,Historical,883530104,1973,,98,
"Roberts, Elisabeth",Jumping Jackjaws! Here Comes Simon,Rand McNally & Company,Very Good,Good,Hard Cover,Child's Book,0-528-82097-4,1973,,192,
"Rose, Phil and Merle",The Reno/Tahoe Visitor,"Visitor Publications, Inc.",As New,No Jacket,Hard Cover,Travel,None,1973,,,
"Schroeder, Joseph J., Jr.","1923 Sears, Roeuck Catalogue","Digest Books, Inc.",Very Good,No Jacket,Soft Cover,Collector,,1973,,974,
"Smith, Helen Henry","Vikingsholm, Tahoe's Hidden Castle",Lohs Graphics Nest,Good,No Jacket,Hard Cover,Novel,No ISBN,1973,,36,
"Smith, Karl J.",Trigonometry for College Students,Brooks Cole Publishing Co.,Poor,No Jacket,Hard Cover,Education,818501987,1973,,283,
"Smith, Patricia R.",Modern Collector's Dolls,Crown Publishers,Very Good,Very Good,Hard Cover,Collector,,1973,1st Edition,310,
"Stewart, Mary",The Hollow Hills,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,449204421,1973,,447,
"Thommen, George S.",Is This Your Day?,Avon,Very Good,No Jacket,Soft Cover,Novel,380004631,1973,,177,
"Tweedie, Michael",All Color Book of Insects,Octobus Books,Very Good,Very Good,Hard Cover,Education,706402197,1973,1st Edition,70,
"Valiente, Doreen",An ABC of Witchcraft Past and Present,St. Martin's Press,As New,Fine,Hard Cover,Novel,,1973,,416,
"Wharton, David B.",The Alaska Gold Rush,Indiana University Press,Very Good,Fair,Hard Cover,Historical,253100615,1973,,302,
"Whitney, Phyllis A.",Turqoise Mask,Fawcett Crest,Poor,No Jacket,Soft Cover,Novel,No ISBN,1973,,320,
"Babson, Marian",Unfair Exchange,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1974,,,
"Bortstein, Larry",Hot Rods and Drag Racing,Troll Associates,Good,No Jacket,Soft Cover,Paperback,No ISBN,1974,,32,
"Bugliosi, Vincent",Helter Skelter,Bantam Books,Good,No Jacket,Soft Cover,Novel,,1974,,664,
"Christie, Agatha",Murder on the Links,Dell,Fair,No Jacket,Soft Cover,Mystery,,1974,,224,
"Cooper, Kenneth H., M.D.",The Aerobics Way,Bantam Books,As New,Fine,Soft Cover,Health,553233483,1974,,311,
"Davis, Angela",Angela Davis: An Autobiography,Bantam Books,Fair,No Jacket,Soft Cover,Autobiography,No ISBN,1974,,399,
"Eastman, P. D.",The Alphabet Book,Random House,Good,No Jacket,Soft Cover,Child's Book,394828186,1974,,,
"Jaffee, Al",Mad Monstrosities,Warner Books,Good,No Jacket,Soft Cover,Child's Book,0-446-88731-5,1974,First Edition,,
"Johnston, William","Happy Days, Fonzie Drops In",Grosset & Dunlap,Good,No Jacket,Soft Cover,Humor,448074526,1974,,155,
"Konvitz, Jeffrey",The Sentinel,Ballantine Books,Fair,No Jacket,Soft Cover,Novel,3.45E+11,1974,,278,
Luce. Henry R.,The Old West,Time Life Books,Very Good,No Jacket,Hard Cover,Western,None,1974,,238,
"Ludlum, Robert",The Rhinemann Exchange,Dell Publishing Co.,Fair,No Jacket,Soft Cover,Novel,440150795,1974,,446,
"Pirsig, Robert M.",Zen and the Art of Motorcycle Maintenance,Bantam Books,Good,No Jacket,Soft Cover,Novel,0-553-27747-2,1974,,380,
"Rhodes, Richard",The Ozarks,Time Inc.,,,Hard Cover,Education,0-8094-1196-2,1974,,184,
"Silverstein, Shel",Where the Sidewalk Ends,Harper and Rowe,Very Good,No Jacket,Hard Cover,Historical,06-025668-0,1974,,166,
"Trench, Brinsley L.e Poer",Secret of the Ages,Pinnacle Books,As New,No Jacket,Soft Cover,Education,523400505,1974,,216,
"Tryon, Thomas",Lady,Alfred A. Knoff,Very Good,Good,Hard Cover,Novel,,1974,,278,
"Whitney, Phylis A.",The Mystery of the Gulls,Signet,Good,No Jacket,Soft Cover,Novel,,1974,1st Edition,175,
"Winer, Richard",The Devil's Triangle,A Bantam Book,Fair,No Jacket,Soft Cover,Mystery,,1974,,222,
"Abbey, Edward",The Monkey Wrench Gang,Avon,Good,No Jacket,Soft Cover,Novel,0-380-00741-X,1975,,387,
"Babson, Marian",There Must be Some Mistake,Detective Book Club,As New,No Jacket,Hard Cover,Mystery,None,1975,,,
"Becker, Stephen",The Chinese Bandit,Berklely Books,Poor,No Jacket,Soft Cover,Adventure,425034038,1975,,309,
"Bruce-Briggs, B.",The War Against the Automobile,"E. P. Dutton & Company, Inc.",Very Good,Fair,Hard Cover,Historical,525230084,1975,,244,
"Bryant, Traphes",Dog Days at the White House,Macmillan Publishing Company,Very Good,Fine,Hard Cover,Political,0-02-517990-X,1975,1st Edition,343,
"Burris, Jack",Music at Quaker Valley,Scotties,As New,No Jacket,Soft Cover,Novel,,1975,,186,
"Busch, Fritz-Otto",The Sinking of the Scharnhorst,Futura Publications Limited,Good,No Jacket,Soft Cover,Historical,860071308,1975,,186,
"Christie, Agatha",Crooked House,Pocket Books,Fair,No Jacket,Soft Cover,Mystery,,1975,,180,
"Clark, Mary Higgins",Where Are the Children?,Pocket Books,Fine,No Jacket,Soft Cover,Mystery,671741187,1975,,290,
"Clavell, James",Shogun,Dell Publishing Co.,Very Good,Very Good,Soft Cover,Novel,,1975,,1210,
"Cott M.D., Allan",Fasting the Ultimate Diet,Jerome Agel,Fair,No Jacket,Soft Cover,Health,,1975,,148,
"Cussler, Clive",Iceberg,Bantam Book,Fair,No Jacket,Soft Cover,Adventure,553110624,1975,,296,
"Cussler, Clive",Iceberg,Berkely Books,Fair,No Jacket,Soft Cover,Adventure,9.78E+12,1975,,369,
"Hitchcock, Alfred",Speak of the Devil,A Dell Book,Good,No Jacket,Soft Cover,Mystery,No ISBN,1975,,235,
"Joseph, Franz","Star Trek, Star Fleet, Technical Manuel",Ballantine Books,As New,Very Good,Hard Cover,Education,,1975,,,
"King, Stephen",Salem's Lot,A Signet Book,Good,No Jacket,Soft Cover,Mystery,,1975,,427,
"Krantzler, Mel",Creative Divorce,Signet,Good,No Jacket,Soft Cover,Self Help,,1975,,240,
"Littlegreen, Inc.",Transfiguration Diet,"Littlegreen, Inc.",Fair,No Jacket,Soft Cover,Health,936863048,1975,,159,
"Maclean, Alistair",Circus,Doubledaiy & Co.,Very Good,Fair,Hard Cover,Mystery,,1975,,192,
"Maclean, Alistair",Circus,Fawcett Crest,Fair,No Jacket,Soft Cover,Novel,449228754,1975,,268,
"Mandino, Og",The Greatest Miracle in the World,Bantam Book,Good,No Jacket,Soft Cover,Novel,0-553-20551-X,1975,,108,
"Marchant, Catherine",Miss Martha Maryi Crawford,William Morrow,Good,Fair,Hard Cover,Novel,No ISBN,1975,,248,
"Meyer, Carolyn",People Who Make Things,Athenium,As New,Fine,Hard Cover,Education,0-689-50012-2,1975,,200,
"Milne, Christopher",The Enchanted Places,"E. P. Dutton & Company, Inc.",As New,Very Good,Hard Cover,Adventure,0-525-29293-4,1975,,169,
"Norton, Andre",The White Jade Fox,"E. P. Dutton & Company, Inc.",Very Good,No Jacket,Soft Cover,Ficton,No ISBN,1975,,208,
"Sanders, Lawrence",The Tomorrow File,Berkely Books,Poor,No Jacket,Soft Cover,Novel,425032000,1975,,551,
"Wambaugh, Joseph",The Choirboys,A Dell Book,Good,No Jacket,Soft Cover,Novel,44001188225,1975,,383,
"Wambaugh, Joseph",The Choirboys,A Dell Book,Poor,No Jacket,Soft Cover,Novel,,1975,,383,
"Barnes M.D.,Broda O., & Galton, Lawrence",Hypothyroidism: The Unsuspected Illness,Doubledaiy & Co.,Very Good,Good,Hard Cover,Health,069001029x,1976,,308,
"Bigge, Morris L.",Learning Theories for Teachers,Harper & Row,Good,No Jacket,Soft Cover,Education,60406720,1976,,386,
"Blish, James",The Star Trek Reader,"E. P. Dutton & Company, Inc.",As New,Very Good,Hard Cover,Novel,No ISBN,1976,,372,
"Brown, Anthony Cave",The Secret War Report of the WSS,Berkley Medalion,Fair,No Jacket,Soft Cover,Historical,425032531,1976,,572,
"Carr, John Dickson",The Life of Sir Arthur Conan Doyle,Carroll & Graf Publishes,Very Good,No Jacket,Soft Cover,Biography,881843725,1976,,394,
Crafts Advisory Committee,Crafts - Men of Quality,Hazel Watson and Vinney Alesbury,Good,No Jacket,Soft Cover,Education,0-903978-08-5,1976,,190,
"Dills, Lanie",The Official CB Slanguage Language Dictionary,Louis J. Martin & Assoc.,Poor,No Jacket,Soft Cover,Paperback,916744000,1976,,126,
"Goldman, William",Marathon Man,Dell,Fair,No Jacket,Soft Cover,Mystery,,1976,,263,
"Haley, Alex",Roots,A Dell Book,Very Good,No Jacket,Soft Cover,Novel,440174643,1976,,729,
"Hamilton, Jane",The Book of Ruth,Anchor Books,Good,No Jacket,Soft Cover,Novel,38526570,1976,,328,
"Heller, Joseph",Good as Gold,Pocket Books,Fair,No Jacket,Soft Cover,Novel,671823884,1976,,488,
"Herbert, James",The Survivor,A Signet Book,Poor,No Jacket,Soft Cover,Novel,None,1976,,206,
Heritage of America Library,Cheapest Supply House on Earth,Bantam Book,As New,No Jacket,Soft Cover,Historical,,1976,,319,
Heritage of America Library,Poor Richard's Almanac,Bantam Book,As New,No Jacket,Hard Cover,Historical,,1976,,60,
Heritage of America Library,The American Heritage Cookbook,Bantam Book,As New,No Jacket,Hard Cover,Historical,,1976,,126,
"Higgins, Jack",Storm Warning,Bantam Book,Good,No Jacket,Soft Cover,Novel,055314054X,1976,,276,
"Levinson, Leonard Louis",The Left Handed Dictionary,"Collier Books, New York",Very Good,No Jacket,Soft Cover,Humor,,1976,,255,
"London, Jack",White Fang,Andor Publishing,Good,No Jacket,Soft Cover,Novel,893190055,1976,,317,
"Lucas, George",Star Wars,Ballantine Books,Very Good,No Jacket,Soft Cover,Fantasy,345260791,1976,,220,Made into a Movie
"Lucas, George",Star Wars: From The Adventures of Luke Skywalker,Del Ray,Very Good,No Jacket,Soft Cover,Fantasy,345260791,1976,1st Edition,220,
"Maclean, Norman",A River Runs Through It,Pocket Books,Fair,No Jacket,Soft Cover,Novel,671776975,1976,,237,
"McClelland, Carol",Yur Dream Career for Dummies,Wiley Publishing,Very Good,No Jacket,Soft Cover,Self Help,764597957,1976,,,
National Geographic,Clues to America's Past,National Geographic,Very Good,Very Good,Hard Cover,Education,,1976,,199,
"Paher, Stanley W.",Nevada Official Bicentennial Book,Nevada Publications,Very Good,No Jacket,Soft Cover,Historical,No ISBN,1976,,528,
"Patterson, James",Thomas Berryman Number,Warner Books,As New,No Jacket,Soft Cover,Mystery,446600458,1976,,272,
"Patterson, James & Michael Ledwidge",The Quickie,Little Brown & Co.,As New,Very Good,Hard Cover,Mystery,9.78E+12,1976,,274,
"Perrins, Christopher, Dr.","Birds, Their Life, Their Ways, Their World",Reader's Digest,Good,Poor,Hard Cover,Education,0-89577-065-2,1976,,411,
"Robbins, Tom",Even Cowgirls Get the Blues,Bantam Books,Good,No Jacket,Soft Cover,Novel,553205803,1976,,416,
"Ross, Wilma S.",Fabulous Facts About the 50 States,"Scholastic, Inc.",Good,No Jacket,Soft Cover,Child's Book,NO ISBN,1976,,224,
"Sanders, Lawrence",The Tangent Objective,Berklely Books,As New,No Jacket,Soft Cover,Mystery,425103315,1976,,510,
"Sheehy, Gail",#1 From Coast to Coast--Passages,A Bantam Book,Fair,No Jacket,Soft Cover,Education,3553103067,1976,,560,
"St. John, Willy Folk",The Mystery Book Mystery,Avon,Fair,No Jacket,Soft Cover,Mystery,380398001,1976,First Edition,159,
"Sutphen, Dick",You Were Born Again to be Together,Pocket Books,Poor,No Jacket,Soft Cover,Novel,0-671-43383-0,1976,,253,
The Heritage of America Library,Declaration of Independence,Bantam Book,As New,No Jacket,Soft Cover,Historical,,1976,,89,
The Spanish West,The Old West,Time Life Books,As New,No Jacket,Hard Cover,Reference,None,1976,,240,
Time Life,Masonry,Time Life Books,Very Good,No Jacket,Hard Cover,Organizing & Design,,1976,,128,
"Toland, John",Adolf Hitler,Ballantine Books,As New,No Jacket,Soft Cover,Historical,0-345-27533-0,1976,,1229,
"Uris, Leon",Trinity,Doubledaiy & Co.,Very Good,No Jacket,Hard Cover,Novel,,1976,,751,
"Waller, Leslie",The Swiss Account,Bantam Books,Good,No Jacket,Soft Cover,Novel,5531000920,1976,,469,
"West, Morris",The Navigator,William Morrow,Good,Good,Hard Cover,Fiction,None,1976,,303,
"Wharton, Edith",The Ghost Stories of Edith Wharton,Fawcett Popular Library,Fair,No Jacket,Soft Cover,Horror,0-445-08507-X,1976,1st Edition,320,
"Whitney, Phyllis A.",The Golden Unicorn,Fawcett Crest Book,Fair,No Jacket,Soft Cover,Romance,449231046,1976,,315,
"Whitney, Phyllis A.",The Golden Unicorn,A Fawcett Crest,Good,No Jacket,Soft Cover,Romance,449231046,1976,,315,
"Woodward, Bob & Carl Bernstein",The Final Days,Aven Books,Good,No Jacket,Soft Cover,Historical,380008440,1976,,529,
"Malory, Thomas",Le Morte d'Arthur ,Everyman Ltd,Good,Good,Hard Cover,Prose,,1976,,,French
"Axe, John",The Collectible Dionne Quintuplets,Hobby House Press,As New,No Jacket,Hard Cover,Biography,0-87588-136-X,1977,,154,
"Blish, James",The Star Trek Reader II,"E. P. Dutton & Company, Inc.",As New,Very Good,Hard Cover,Novel,No ISBN,1977,,374,
"Blish, James",The Star Trek Reader III,"E. P. Dutton & Company, Inc.",As New,Very Good,Hard Cover,Novel,No ISBN,1977,,374,
"Blume, Judy",Starring Sally J. Freedman As Herself,Yearling,Good,No,Soft Cover,Child's Book,440482534,1977,,,
"Carabatsos, James",Heroes,Berkley Medallion Book,Fair,No Jacket,Soft Cover,Novel,425037185,1977,,214,
"Christie, Agatha",Masterpieces of Murder,"Dodd, Mead & Co",Fair,No Jacket,Hard Cover,Mystery,0-396-07412-X,1977,,594,
"Cohen, Barney",The Night of the Toy Dragons,Berklely Books,Fair,No Jacket,Soft Cover,Fantasy,7183100150,1977,,218,
"Cohen, Daniel",Real Ghosts,Archway,Very Good,No Jacket,Soft Cover,Mythology,671299085,1977,,116,
"Corman, Avery",Kramer Versus Kramer,Signet,Very Good,No Jacket,Soft Cover,Education,,1977,,248,
"Cravens, Richard H.",Pests and Diseases,Time Life Books,Very Good,No Jacket,Hard Cover,Education,No ISBN,1977,,160,
"Cussler, Clive",The Mediterranean Caper,Pocket Books,Very Good,No Jacket,Soft Cover,Adventure,671737783,1977,,248,
